scenario,time_s,frame_id,event,from_state,to_state,command_id
pullin_22db_fm62p5_cp0p30,1.62000000,81,SyncReady,PullIn,PullIn,81
pullin_22db_fm62p5_cp0p30,5.38000000,269,StateRequested,PullIn,Lock,270
pullin_22db_fm62p5_cp0p30,5.40000000,270,StateCommitted,PullIn,Lock,270
pullin_22db_fm62p5_cp0p30,5.40000000,270,TrackingReady,PullIn,Lock,270
pullin_22db_fm62p5_cp0p30,10.38000000,519,StateRequested,Lock,LongFast,520
pullin_22db_fm62p5_cp0p30,10.40000000,520,StateCommitted,Lock,LongFast,520
pullin_22db_fm62p5_cp0p30,13.58000000,679,StateRequested,LongFast,LongLock,680
pullin_22db_fm62p5_cp0p30,13.60000000,680,StateCommitted,LongFast,LongLock,680
pullin_22db_fm62p5_cp0p30,16.78000000,839,StateRequested,LongLock,Medium,840
pullin_22db_fm62p5_cp0p30,16.80000000,840,StateCommitted,LongLock,Medium,840
pullin_22db_fp0p0_cp0p30,1.32000000,66,SyncReady,PullIn,PullIn,66
pullin_22db_fp0p0_cp0p30,9.20000000,460,StateRequested,PullIn,Lock,461
pullin_22db_fp0p0_cp0p30,9.22000000,461,StateCommitted,PullIn,Lock,461
pullin_22db_fp0p0_cp0p30,9.22000000,461,TrackingReady,PullIn,Lock,461
pullin_22db_fp0p0_cp0p30,14.20000000,710,StateRequested,Lock,LongFast,711
pullin_22db_fp0p0_cp0p30,14.22000000,711,StateCommitted,Lock,LongFast,711
pullin_22db_fp0p0_cp0p30,17.72000000,886,StateRequested,LongFast,LongLock,887
pullin_22db_fp0p0_cp0p30,17.74000000,887,StateCommitted,LongFast,LongLock,887
pullin_22db_fp0p0_cp0p30,21.56000000,1078,StateRequested,LongLock,Medium,1079
pullin_22db_fp0p0_cp0p30,21.58000000,1079,StateCommitted,LongLock,Medium,1079
pullin_22db_fp62p5_cm0p3,2.46000000,123,SyncReady,PullIn,PullIn,123
pullin_22db_fp62p5_cm0p3,4.16000000,208,StateRequested,PullIn,Lock,209
pullin_22db_fp62p5_cm0p3,4.18000000,209,StateCommitted,PullIn,Lock,209
pullin_22db_fp62p5_cm0p3,4.18000000,209,TrackingReady,PullIn,Lock,209
pullin_22db_fp62p5_cm0p3,9.16000000,458,StateRequested,Lock,LongFast,459
pullin_22db_fp62p5_cm0p3,9.18000000,459,StateCommitted,Lock,LongFast,459
pullin_22db_fp62p5_cm0p3,12.36000000,618,StateRequested,LongFast,LongLock,619
pullin_22db_fp62p5_cm0p3,12.38000000,619,StateCommitted,LongFast,LongLock,619
pullin_22db_fp62p5_cm0p3,15.56000000,778,StateRequested,LongLock,Medium,779
pullin_22db_fp62p5_cm0p3,15.58000000,779,StateCommitted,LongLock,Medium,779
pullin_22db_fp62p5_cp0p0,1.24000000,62,SyncReady,PullIn,PullIn,62
pullin_22db_fp62p5_cp0p0,2.78000000,139,StateRequested,PullIn,Lock,140
pullin_22db_fp62p5_cp0p0,2.80000000,140,StateCommitted,PullIn,Lock,140
pullin_22db_fp62p5_cp0p0,2.80000000,140,TrackingReady,PullIn,Lock,140
pullin_22db_fp62p5_cp0p0,7.78000000,389,StateRequested,Lock,LongFast,390
pullin_22db_fp62p5_cp0p0,7.80000000,390,StateCommitted,Lock,LongFast,390
pullin_22db_fp62p5_cp0p0,10.98000000,549,StateRequested,LongFast,LongLock,550
pullin_22db_fp62p5_cp0p0,11.00000000,550,StateCommitted,LongFast,LongLock,550
pullin_22db_fp62p5_cp0p0,14.18000000,709,StateRequested,LongLock,Medium,710
pullin_22db_fp62p5_cp0p0,14.20000000,710,StateCommitted,LongLock,Medium,710
pullin_22db_fp62p5_cp0p30,1.30000000,65,SyncReady,PullIn,PullIn,65
pullin_22db_fp62p5_cp0p30,4.34000000,217,StateRequested,PullIn,Lock,218
pullin_22db_fp62p5_cp0p30,4.36000000,218,StateCommitted,PullIn,Lock,218
pullin_22db_fp62p5_cp0p30,4.36000000,218,TrackingReady,PullIn,Lock,218
pullin_22db_fp62p5_cp0p30,9.34000000,467,StateRequested,Lock,LongFast,468
pullin_22db_fp62p5_cp0p30,9.36000000,468,StateCommitted,Lock,LongFast,468
