time_s,frame_id,event,from_state,to_state
0.56000000,28,SyncLocked,PullIn,PullIn
1.20000000,60,StateRequested,PullIn,Lock
1.22000000,61,StateCommitted,PullIn,Lock
5.08000000,254,StateRequested,Lock,Strong
5.10000000,255,StateCommitted,Lock,Strong
195.40000000,9770,StateRequested,Strong,LongFast
195.42000000,9771,StateCommitted,Strong,LongFast
198.60000000,9930,StateRequested,LongFast,LongLock
198.62000000,9931,StateCommitted,LongFast,LongLock
201.80000000,10090,StateRequested,LongLock,Medium
201.82000000,10091,StateCommitted,LongLock,Medium
289.16000000,14458,StateRequested,Medium,Weak
289.18000000,14459,StateCommitted,Medium,Weak
311.56000000,15578,StateRequested,Weak,Deep
311.58000000,15579,StateCommitted,Weak,Deep
617.56000000,30878,StateRequested,Deep,Weak
617.58000000,30879,StateCommitted,Deep,Weak
658.84000000,32942,StateRequested,Weak,Medium
658.86000000,32943,StateCommitted,Weak,Medium
733.40000000,36670,StateRequested,Medium,Strong
733.42000000,36671,StateCommitted,Medium,Strong
